timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1654227016494,301,https://www.demoblaze.com/config.json,200,OK,Performence Test Thread 1-1,text,true,,379,437,8,8,https://www.demoblaze.com/config.json,301,0,0
1654227015401,1486,https://www.demoblaze.com/index.html,200,OK,Performence Test Thread 1-3,text,true,,1114416,8602,9,9,https://www.demoblaze.com/index.html,485,0,186
1654227015401,514,https://www.demoblaze.com/index.html-0,200,OK,Performence Test Thread 1-3,text,true,,19902,521,9,9,https://www.demoblaze.com/index.html,485,0,186
1654227015916,96,https://www.demoblaze.com/index.html-1,200,OK,Performence Test Thread 1-3,bin,true,,5680,522,9,9,https://www.demoblaze.com/favicon.ico,91,0,0
1654227015916,591,https://www.demoblaze.com/index.html-2,200,OK,Performence Test Thread 1-3,text,true,,151281,560,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,396,0,110
1654227015916,234,https://www.demoblaze.com/index.html-3,200,OK,Performence Test Thread 1-3,text,true,,40312,554,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,201,0,110
1654227015916,202,https://www.demoblaze.com/index.html-4,200,OK,Performence Test Thread 1-3,text,true,,10045,528,9,9,https://www.demoblaze.com/css/latofonts.css,202,0,107
1654227015916,397,https://www.demoblaze.com/index.html-5,200,OK,Performence Test Thread 1-3,text,true,,1078,528,9,9,https://www.demoblaze.com/css/latostyle.css,397,0,112
1654227015916,441,https://www.demoblaze.com/index.html-6,200,OK,Performence Test Thread 1-3,bin,true,,4263,517,9,9,https://www.demoblaze.com/bm.png,437,0,139
1654227016012,338,https://www.demoblaze.com/index.html-7,200,OK,Performence Test Thread 1-3,bin,true,,27679,523,9,9,https://www.demoblaze.com/Samsung1.jpg,305,0,0
1654227016119,318,https://www.demoblaze.com/index.html-8,200,OK,Performence Test Thread 1-3,bin,true,,34140,521,9,9,https://www.demoblaze.com/nexus1.jpg,291,0,0
1654227016151,314,https://www.demoblaze.com/index.html-9,200,OK,Performence Test Thread 1-3,bin,true,,34899,522,9,9,https://www.demoblaze.com/iphone1.jpg,287,0,0
1654227016313,161,https://www.demoblaze.com/index.html-10,200,OK,Performence Test Thread 1-3,text,true,,35603,549,9,9,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,95,0,0
1654227016350,537,https://www.demoblaze.com/index.html-11,200,OK,Performence Test Thread 1-3,text,true,,481577,550,9,9,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,297,0,0
1654227016357,493,https://www.demoblaze.com/index.html-12,200,OK,Performence Test Thread 1-3,text,true,,232712,575,9,9,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,307,0,0
1654227016437,297,https://www.demoblaze.com/index.html-13,200,OK,Performence Test Thread 1-3,text,true,,9222,552,9,9,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,296,0,0
1654227016465,305,https://www.demoblaze.com/index.html-14,200,OK,Performence Test Thread 1-3,text,true,,15765,558,9,9,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,296,0,0
1654227016474,301,https://www.demoblaze.com/index.html-15,200,OK,Performence Test Thread 1-3,text,true,,10258,522,9,9,https://www.demoblaze.com/js/index.js,296,0,0
1654227015882,1078,https://www.demoblaze.com/index.html,200,OK,Performence Test Thread 1-5,text,true,,610252,8602,9,9,https://www.demoblaze.com/index.html,187,0,103
1654227015882,188,https://www.demoblaze.com/index.html-0,200,OK,Performence Test Thread 1-5,text,true,,5198,521,9,9,https://www.demoblaze.com/index.html,187,0,103
